SampleID	SamplePoint	Lake	Run	Type	Surround	UpstreamBuild	UpstreamFarm	UpstreamPast	Size(stream)	Month	Coliforms	E. coli	Entero	C. perf	Area	Elevation	Ave.Depth	Max.Depth	Shoreline	Volume	WS.Area	WS.Ac.Area	WS.Frac.Water.Area	WS.Frac.Forest.Area	WS.Frac.Farm.Area	Turbidity	ColorVal	pH	Alkalinity	CODMn	Conductivity	TotalHardness	Cloride	Sulfate	Ammonium	Ammonium_nitrogen	Nitrate	Nitrate_nitrogen	Sodium	Potassium	Calcium	Iron	Magnesium	Manganese	Aluminium	Copper
Ok.5upp2.omg4	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	4-Aug	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok6.29	Oklangen-6	Oklangen	A	Point	Forest	FALSE	TRUE	TRUE	Small	1-Oct	117.8	3.1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok6.18	Oklangen-6	Oklangen	A	Point	Forest	FALSE	TRUE	TRUE	Small	2-FALSEv	280.9	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.6.omg3	Oklangen-6	Oklangen	B	Point	Forest	FALSE	TRUE	TRUE	Small	3-May	151.5	1	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.6.omg4	Oklangen-6	Oklangen	B	Point	Forest	FALSE	TRUE	TRUE	Small	4-Aug	2419.2	51.2	18.3	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok7.29	Oklangen-7	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	1-Oct	156.5	11	4.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok7.18	Oklangen-7	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	2-FALSEv	2419.2	1	22.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.7.omg3	Oklangen-7	Oklangen	B	Point	Field	FALSE	TRUE	TRUE	Small	3-May	2419.2	1	45.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok8.29	Oklangen-8	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	1-Oct	1119.9	11	9.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok8.18	Oklangen-8	Oklangen	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	280.9	4.1	87.3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.8.omg3	Oklangen-8	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	461.1	1	51.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.8.omg4	Oklangen-8	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	1732.9	4.1	2419.2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OkIn.29	Oklangen-In	Oklangen	A	In	NA	NA	NA	NA	NA	1-Oct	46.7	14.3	1	2	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.65	60	7.1	7.2	9	6.4	0.88	9.5	4.9	0.026	0.02	1.3	0.29	5.7	0.79	4.5	0.15	1.1	0.033	0.087	0.00067
OkIn.19	Oklangen-In	Oklangen	A	In	NA	NA	NA	NA	NA	2-FALSEv	25.3	6.3	1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.In.omg3	Oklangen-In	Oklangen	B	In	NA	NA	NA	NA	NA	3-May	25.9	1	6.3	4	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	1	61	6.9	6.7	9.4	6.5	0.84	9.6	5.6	0.021	0.016	2.4	0.55	5.8	0.75	4.1	0.19	1.1	0.015	0.14	0.00061
Ok.In.omg4	Oklangen-In	Oklangen	B	In	NA	NA	NA	NA	NA	4-Aug	1413.6	2	3.1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.92	40	7.1	8.4	6.4	6.9	1	9.5	5.6	0.026	0.02	1.7	0.38	6.3	0.96	5.2	0.13	1.3	0.018	0.094	0.00069
OkRef.29	Oklangen-Ref	Oklangen	A	Ref	NA	NA	NA	NA	NA	1-Oct	156.5	24.6	2	5	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.73	54	7.1	7.1	8.9	6.4	0.94	9.5	5	0.013	0.01	1.3	0.3	6.3	0.84	4.8	0.14	1.2	0.022	0.1	0.00034
OkRef.18	Oklangen-Ref	Oklangen	A	Ref	NA	NA	NA	NA	NA	2-FALSEv	15.8	2	1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.ref.omg3	Oklangen-Ref	Oklangen	B	Ref	NA	NA	NA	NA	NA	3-May	14.5	6.3	1	4	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.9	60	6.9	6.3	10	6.5	0.87	9.7	5.5	0.017	0.013	1.9	0.43	6	0.76	4.3	0.19	1.2	0.013	0.14	0.00053
Ok.ref.omg4	Oklangen-Ref	Oklangen	B	Ref	NA	NA	NA	NA	NA	4-Aug	27.5	5.2	2	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.067	43	7.2	7.8	6.3	6.7	1.1	9.7	5.6	0	0	1.5	0.35	6.1	0.91	5.4	0.087	1.3	0.0075	0.078	0.00047
Sk1.29	Skarsjon-1	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	275.5	11.9	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk1.19	Skarsjon-1	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	2419.2	49.6	1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.1.omg3	Skarsjon-1	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	2419.2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.1.omg4	Skarsjon-1	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	2419.2	60.9	59.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk2.19	Skarsjon-2	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	686.7	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.2.omg3	Skarsjon-2	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	127.4	17.3	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.2.omg4	Skarsjon-2	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	648.8	17.5	7.4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk3.29	Skarsjon-3	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	325.5	5	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3	60	7.4	18	13	12	1.6	19	11	0.012	0	0	0	12	1.3	6.4	0.5	3.2	0.08	0.024	0.00014
Sk3.19	Skarsjon-3	Skarsjon	A	Point	Forest	TRUE	FALSE	FALSE	NA	2-FALSEv	93.4	2	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.3.omg3	Skarsjon-3	Skarsjon	B	Point	Forest	TRUE	FALSE	FALSE	NA	3-May	41.3	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	88	7.1	11	9.7	10	1.3	16	12	0.017	0.013	0	0	11	1.1	4.8	0.51	2.6	0.14	0.048	0.00059
Sk.3.omg4	Skarsjon-3	Skarsjon	B	Point	Forest	TRUE	FALSE	FALSE	NA	4-Aug	372.5	6.3	47.3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.8	87	7.1	23	8	11	1.7	17	4.5	0	0	0	0	12	1.1	6.9	0.73	3.1	0.16	0.032	0.00027
Sk4.29	Skarsjon-4	Skarsjon	A	Point	Field/Forest	TRUE	FALSE	FALSE	Small	1-Oct	344.8	13.4	35.4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	24	6.3	0	5.4	7.4	0.66	14	7.7	0	0	0	0	8.6	0.52	2.2	0.16	1.5	0.021	0.093	0.00025
Sk4.19	Skarsjon-4	Skarsjon	A	Point	Field/Forest	TRUE	FALSE	FALSE	Small	2-FALSEv	191.8	5.2	52.9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.4.omg3	Skarsjon-4	Skarsjon	B	Point	Field/Forest	TRUE	FALSE	FALSE	Small	3-May	32.3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39	27	6.3	0	4.8	7.1	0.62	14	6.3	0	0	0.8	0.18	8.4	0.54	2	0.11	1.5	0.022	0.1	0.00028
Sk.4.omg4	Skarsjon-4	Skarsjon	B	Point	Field/Forest	TRUE	FALSE	FALSE	Small	4-Aug	547.5	8.5	6.3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	19	6.6	2.6	3.7	7	0.66	14	5.7	0	0	0	0	8.9	0.54	2.1	0.16	1.6	0.034	0.058	0.00029
SkIn.29	Skarsjon-In	Skarsjon	A	In	NA	NA	NA	NA	NA	1-Oct	25.6	3	3	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	1.1	16	7.1	7.5	3.5	7	0.82	14	6.1	0.026	0.02	0	0	8.5	0.8	3	0.034	1.7	0.026	0.011	0.00058
SkIn.19	Skarsjon-In	Skarsjon	A	In	NA	NA	NA	NA	NA	2-FALSEv	8.5	1	3.1	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.In.omg3	Skarsjon-In	Skarsjon	B	In	NA	NA	NA	NA	NA	3-May	4.1	1	1	2	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.76	19	7	7.2	3.6	8	0.82	14	6.6	0.032	0.025	0.75	0.17	8.9	0.76	2.9	0.039	1.8	0.013	0.022	0.0006
Sk.In.omg4	Skarsjon-In	Skarsjon	B	In	NA	NA	NA	NA	NA	4-Aug	2419.2	1	1	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	2	16	6.7	8.5	3.5	8.4	0.95	14	6.5	0.013	0.01	1	0.23	9.9	0.97	3.3	0.035	2.1	0.29	0.02	0.00075
SkRef.29	Skarsjon-Ref	Skarsjon	A	Ref	NA	NA	NA	NA	NA	1-Oct	12.1	1	5.2	3	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.92	17	7.1	6.8	3.5	7.9	0.86	14	6.1	0.018	0.014	0	0	9	0.82	3.1	0.067	1.8	0.062	0.021	0.00047
SkRef.19	Skarsjon-Ref	Skarsjon	A	Ref	NA	NA	NA	NA	NA	2-FALSEv	9.6	1	2	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.ref.omg3	Skarsjon-Ref	Skarsjon	B	Ref	NA	NA	NA	NA	NA	3-May	1	1	1	2	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.69	18	7	6.8	3.4	7.9	0.81	14	6.6	0	0	0.66	0.15	8.8	0.74	2.8	0.04	1.8	0.013	0.023	0.00056
Sk.ref.omg4	Skarsjon-Ref	Skarsjon	B	Ref	NA	NA	NA	NA	NA	4-Aug	2419.2	1	1	2	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.84	14	7.2	7.3	2.9	8	0.95	14	6.4	0	0	0	0	9.2	0.88	3.5	0.016	2	0.014	0.011	0.00064
Sv1.29	Svarten-1	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	157.6	5.2	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	130	5.3	0	17	6.6	0.63	11	7.8	0	0	0	0	6.9	0.31	2.7	1.1	1.1	0.066	0.23	0.00087
Sv1.19	Svarten-1	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	416	5.1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.1.omg3	Svarten-1	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	152.3	3.1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	120	5.4	0	12	5.4	0.47	10	4.2	0.012	0	0.44	0.1	6.4	0.39	2	0.79	0.84	0.02	0.22	0.00023
Sv.1.omg4	Svarten-1	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	920.8	3.1	5.2	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	170	5.3	0	13	5.4	0.56	9.7	3.4	0	0	0	0	6.6	0.19	2.5	1.3	0.89	0.027	0.33	0.00031
Sv1.5.29	Svarten-1.5	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	15.6	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv1.5.19	Svarten-1.5	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	5.2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.1.5.omg3	Svarten-1.5	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	3.1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.1.5.omg4	Svarten-1.5	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	235.9	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv2.29	Svarten-2	Svarten	A	Point	Field	FALSE	TRUE	FALSE	Middle	1-Oct	517.2	19.9	11	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	57	7.2	13	6.1	10	1.2	17	5.9	0.075	0.058	0.75	0.17	11	0.83	6.3	0.71	1.6	0.027	0.089	0
Sv2.19	Svarten-2	Svarten	A	Point	Field	FALSE	TRUE	FALSE	Middle	2-FALSEv	410.6	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.2.omg3	Svarten-2	Svarten	B	Point	Field	FALSE	TRUE	FALSE	Middle	3-May	139.6	6.3	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	31	6.8	8.7	4.7	9.7	0.94	18	5.9	0.012	0	2.6	0.59	11	1	4.3	0.16	1.4	0.029	0.082	0.00023
Sv.2.omg4	Svarten-2	Svarten	B	Point	Field	FALSE	TRUE	FALSE	Middle	4-Aug	1986.3	61.3	22.6	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7	42	7.1	12	5.4	9.6	1.2	17	4.6	0	0	0.97	0.22	11	0.91	5.7	0.37	1.6	0.029	0.066	0.00021
Sv3.29	Svarten-3	Svarten	A	Point	Field	FALSE	TRUE	FALSE	Middle	1-Oct	307.6	21.2	4.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv3.19	Svarten-3	Svarten	A	Point	Field	FALSE	TRUE	FALSE	Middle	2-FALSEv	313	14.6	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.3.omg3	Svarten-3	Svarten	B	Point	Field	FALSE	TRUE	FALSE	Middle	3-May	204.6	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.3.omg4	Svarten-3	Svarten	B	Point	Field	FALSE	TRUE	FALSE	Middle	4-Aug	1986.3	17.3	18.9	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv4.29	Svarten-4	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Middle	1-Oct	131.3	5.2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	80	4.7	0	16	9.5	0.84	15	13	0.01	0	1.1	0.24	9.4	0.68	3.3	0.7	1.6	0.12	0.3	0.00026
Sv4.19	Svarten-4	Svarten	A	Point	Forest	FALSE	FALSE	FALSE	Middle	2-FALSEv	501.2	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.4.omg3	Svarten-4	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Middle	3-May	165	4.1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	110	5.4	0	12	6	0.46	11	4.8	0.012	0	0	0	7.2	0.48	1.8	0.82	0.94	0.059	0.23	0.00041
Sv.4.omg4	Svarten-4	Svarten	B	Point	Forest	FALSE	FALSE	FALSE	Middle	4-Aug	2419.2	25.6	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7	270	5.4	0	22	6.2	0.58	11	1.9	0.01	0	0	0	8	0.19	2.4	2.9	1.1	0.099	0.46	0.00051
Sv5.29	Svarten-5	Svarten	A	Point	Forest	TRUE	FALSE	FALSE	Small	1-Oct	248.1	24	4.1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv5.19	Svarten-5	Svarten	A	Point	Forest	TRUE	FALSE	FALSE	Small	2-FALSEv	2419.2	9.7	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.5.omg3	Svarten-5	Svarten	B	Point	Forest	TRUE	FALSE	FALSE	Small	3-May	290.9	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.5.omg4	Svarten-5	Svarten	B	Point	Forest	TRUE	FALSE	FALSE	Small	4-Aug	1732.9	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SvIn.29	Svarten-In	Svarten	A	In	NA	NA	NA	NA	NA	1-Oct	36.4	2	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.39	38	7.1	7.2	6	7.3	0.87	12	4.9	0	0	1.2	0.28	7.4	0.61	4.6	0.097	1	0.0091	0.061	0.0003
SvIn.19	Svarten-In	Svarten	A	In	NA	NA	NA	NA	NA	2-FALSEv	17.1	3	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.In.omg3	Svarten-In	Svarten	B	In	NA	NA	NA	NA	NA	3-May	20.1	1	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.43	43	7	9.8	6.7	7.7	0.89	13	5.2	0.041	0.032	1.9	0.42	7.6	0.58	4.6	0.12	1	0.0081	0.081	0.0004
Sv.In.omg4	Svarten-In	Svarten	B	In	NA	NA	NA	NA	NA	4-Aug	52.9	1	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.43	36	6.9	9.2	4.8	8	1	12	5.1	0.024	0.019	1.9	0.44	8.2	0.7	5.3	0.11	1.1	0.008	0.91	0.00051
SvRef.29	Svarten-Ref	Svarten	A	Ref	NA	NA	NA	NA	NA	1-Oct	31.3	2	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.46	40	7	7.5	5.5	7.3	0.86	12	4.8	0.01	0	1.4	0.31	7.2	0.59	4.5	0.085	0.99	0.0069	0.058	0.00024
SvRef.19	Svarten-Ref	Svarten	A	Ref	NA	NA	NA	NA	NA	2-FALSEv	9.7	1	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sv.ref.omg3	Svarten-Ref	Svarten	B	Ref	NA	NA	NA	NA	NA	3-May	6.3	1	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.39	41	7	8.6	6	7.6	0.9	12	5.2	0	0	1.8	0.4	7.8	0.61	4.7	0.11	1.1	0.0077	0.08	0.00042
Sv.ref.omg4	Svarten-Ref	Svarten	B	Ref	NA	NA	NA	NA	NA	4-Aug	21.8	1	1	1	1.23	91	11.3	35	7.85	15.05	16.08	16.08	0.10	0.79	0	0.5	32	7.2	8.7	4.8	7.6	0.88	12	5	0	0	1	0.23	8	0.7	5.7	0.097	1.2	0.0067	0.046	0.00033
Ed1.27	NA	Farm																																												
Ek1	NA	Farm																																												
Sa1.27	NA	Farm																																												
St1.27	NA	Farm																																												
Ed.1.omg2	NA	Farm																																												
Ek.1.omg2	NA	Farm																																												
St.1.omg2	NA	Farm																																												
Ok1.omg3.AccuSuper	NA	Test																																												
Ok1.omg3.AccuTough	NA	Test																																												
Ok1.omg3.repliQa	NA	Test																																												
Ok2.omg3.AccuSuper	NA	Test																																												
Ok2.omg3.AccuTough	NA	Test																																												
Ok2.omg3.repliQa	NA	Test																																												
OkIn.omg3.AccuSuper	NA	Test																																												
OkIn.omg3.AccuTough	NA	Test																																												
OkIn.omg3.repliQa	NA	Test																																												
